hsa-mir-10b,hsa-mir-21,hsa-mir-30a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-141,hsa-mir-145,hsa-mir-200a,hsa-mir-200b,hsa-mir-155,hsa-mir-191,hsa-mir-203a,hsa-mir-203b,hsa-mir-210,hsa-mir-373,label
268413,292500,51062,4900,4407,486,433,1732,2053,1536,1157,1827,1981,7852,119,376,0,breast
131944,3603126,59377,14451,12691,1724,1808,20077,3776,3214,2242,742,6865,2960,8,293,0,breast
219237,771427,79137,3492,3142,497,606,495,1635,564,400,1747,310,3811,34,22,0,breast
127604,740009,318285,3424,3113,882,974,4230,3115,3025,2085,647,3122,21519,277,2156,1,breast
44526,212776,140876,14540,10399,555,637,6325,2138,2249,1419,333,2680,28463,127,4214,0,breast
94635,680340,154939,28675,25841,1182,1265,3786,4070,6409,3992,1424,2395,1553,19,2303,0,breast
66207,674116,673978,7328,6575,485,525,20553,1513,8483,8245,206,3843,9920,2,520,0,breast
258409,445550,36350,8774,8165,940,955,13519,6337,3349,3146,1308,10080,6442,0,1472,0,breast
336556,521026,439345,17524,16227,881,859,4023,2736,3173,1446,528,5007,10827,30,1042,0,breast
225435,304783,71131,9220,8397,120,124,2013,285,1019,678,881,485,4527,48,792,0,breast
489064,4378991,546380,15538,14479,4812,5320,5213,5940,3131,2046,2907,1958,37598,106,265,0,breast
686688,997793,368288,13198,12108,3212,3328,5131,10227,3147,1737,892,2782,22489,153,1810,1,breast
133812,714046,123240,4138,3588,185,229,6649,2831,2360,2495,1036,4476,8014,37,191,0,breast
155419,514661,542585,9684,8965,604,682,2257,2377,764,975,749,995,32583,222,949,0,breast
507414,1388377,378555,11762,11174,2515,2669,11906,5859,5390,2230,1473,4239,3399,87,1444,0,breast
259770,4037708,70742,10853,9453,2130,2105,6676,4319,1400,1595,1690,1275,39481,145,5675,0,breast
80182,751381,133129,5759,5450,581,616,7015,1432,2127,1342,424,3861,3396,39,2195,0,breast
994679,922967,639817,13782,13002,3434,3624,5313,6465,2353,1219,1678,2311,32532,103,663,0,breast
237838,3074728,326691,16142,14265,2575,2694,11833,6304,4089,3590,747,11992,86763,297,1255,0,breast
302485,794917,114707,8325,7629,1846,1902,4024,5228,1857,958,3382,4718,5058,30,567,0,breast
267703,288418,120062,6285,5787,1222,1318,2990,2012,1104,696,1123,7758,40813,233,2172,0,breast
63849,464970,40023,5402,4793,248,275,1583,2012,773,562,1617,943,23890,127,2494,0,breast
298667,1837391,75388,22159,19159,2098,2118,4269,12119,7788,9266,718,1311,58326,1470,5679,0,breast
224260,547653,107364,7184,6228,577,622,3538,4515,1511,1393,728,2580,22073,113,1549,0,breast
67027,315082,287330,2430,2300,211,197,6030,1095,4279,3171,392,4431,49664,388,611,0,breast
59162,254510,177198,6206,5907,598,563,3412,1110,4720,2449,306,1632,47516,548,1926,0,breast
44923,171925,150884,4038,3382,150,148,5891,1570,2281,1278,206,3785,1770,14,6046,0,breast
389376,2291178,353874,18748,16715,2244,2354,8463,4020,5920,7634,4161,4729,49345,510,251,0,breast
46405,368042,74131,6530,5704,173,150,4934,1504,2265,1631,633,1989,3517,34,1571,0,breast
116035,334339,68569,2327,2141,514,486,2805,6528,1374,1445,1394,4504,1108,7,308,0,breast
245279,527330,1039240,15869,14740,179,152,4181,3534,2185,2043,359,2752,2182,34,901,0,breast
72880,2206595,273830,95290,84977,1554,1687,22812,6658,22184,13986,4537,6710,126087,1514,19750,0,breast
149315,503309,35296,2379,2284,419,420,2552,6226,1441,1822,632,3229,27598,76,684,0,breast
100277,324566,255624,6639,6041,149,143,4220,3072,984,1417,373,2254,16980,151,1023,0,breast
73424,523546,433786,12250,11309,5326,5318,13286,7730,1628,1402,3752,3799,102177,701,6324,1,breast
485728,1628189,78141,11656,10851,1476,1555,4676,3868,2821,2237,1763,5094,25944,516,450,0,breast
385662,1602879,226673,29887,27705,2103,2234,7379,3387,8072,6233,1858,1956,18132,589,1082,0,breast
109453,453743,185601,6138,5818,286,273,2061,2564,2080,1111,1090,3808,8525,208,782,0,breast
675685,1317503,613875,23613,19878,3018,3147,5421,9484,3313,4756,1351,2830,39030,204,50,0,breast
44138,544022,8431,7345,6543,118,135,2959,972,53,37,1424,6170,1940,15,579,0,breast
470845,1898104,470158,18624,17212,3098,3566,7057,4794,2138,2513,2007,2929,7009,16,123,0,breast
118655,485039,403906,10091,9222,898,894,2975,2918,1283,803,521,2155,7049,35,661,0,breast
88081,505298,19731,7612,6835,621,625,1835,2447,2000,1024,1205,1547,28291,169,1843,0,breast
344457,2706055,485514,20695,19660,4734,5086,10933,16739,9290,6552,2827,4937,9830,31,775,0,breast
338334,1042545,267256,21128,19357,1133,1092,4171,4575,2040,727,577,1280,22122,157,1052,0,breast
438952,942819,244463,9129,8242,1566,1724,6741,7594,2780,1926,463,4446,17079,132,2939,1,breast
54148,684526,578020,29905,27263,1936,2206,4126,561,1374,617,3120,2245,68242,262,3841,0,breast
36663,248109,13508,11185,9846,211,240,5100,1367,3926,2762,652,2715,71637,1281,1128,0,breast
461700,1382648,591569,13005,12160,2261,2484,8217,4416,3589,4028,4346,2390,17845,110,45,0,breast
604112,3461027,864374,31157,27277,6979,7545,19850,9138,14697,7886,1294,10295,88028,361,2644,0,breast
83173,349201,22703,10673,9722,449,436,2435,1686,1071,529,423,1712,39375,165,2091,0,breast
161544,932691,1143426,15372,13988,2792,2931,12701,10283,5180,7003,1997,5991,15021,116,982,0,breast
165272,727770,837988,30546,27920,2523,2689,9006,3104,5389,5172,7572,5555,10920,186,1164,0,breast
437090,393178,455180,19690,17740,1232,1353,3012,4726,1465,1003,1814,1583,12248,186,93,0,breast
701434,840205,379623,4726,4436,948,1133,6253,4175,3700,2635,701,2304,88924,667,619,0,breast
556163,1878312,1126201,30017,27461,1741,1848,7436,3959,7399,5736,1802,5219,28675,319,597,0,breast
61245,828457,21729,6109,5360,210,227,9575,3048,2065,1743,2011,4082,11101,105,2629,0,breast
148651,1016457,320038,23198,18906,883,852,1680,5324,2742,2972,1117,925,142276,489,6497,0,breast
65233,439465,166155,20748,18345,349,394,8225,1633,2726,1763,477,5447,28170,246,1705,0,breast
183541,1116721,105025,22602,20262,871,929,3643,5288,119,99,2620,4828,99860,742,2646,8,breast
234643,382208,384796,19541,17637,1242,1291,10673,12884,7918,7408,534,9034,3424,21,1927,0,breast
321715,892999,608945,4832,4204,330,393,2361,1189,1956,1349,627,704,31640,128,465,1,breast
18467,77750,101037,3092,2825,94,99,3518,1219,899,752,237,2041,1433,16,815,0,breast
85245,607327,15840,7493,6681,2155,2301,6333,5043,4240,2983,3125,15054,8896,85,6258,0,breast
865483,2062078,1915937,32089,27736,3088,3040,13337,6724,4682,4948,3263,7162,41841,380,414,0,breast
156195,621452,7118,10137,9599,747,847,2318,2075,2090,787,841,5497,4532,44,6282,1,breast
413413,2052146,140148,59695,54941,1735,1861,79,28675,38,57,3597,1740,1768,2,3032,1,breast
56336,898859,177843,20391,18848,329,368,4201,1866,1925,856,789,3493,143379,1210,2592,0,breast
844297,2084030,354347,19492,16555,4152,4300,1870,12676,1663,2354,2399,2011,8236,42,146,0,breast
555164,2037173,176848,59671,52789,1392,1497,28246,12163,13235,10571,823,18093,48545,163,3668,0,breast
46425,365462,568207,3120,2848,79,85,6390,3912,871,1357,139,3516,3759,27,567,0,breast
117455,450818,30550,6121,5859,817,833,3845,4696,4259,1917,1720,4909,3990,12,916,0,breast
57287,263195,132486,2024,1879,198,229,2777,590,1027,535,413,1446,2656,14,652,0,breast
78814,826436,1197078,2218,2107,153,170,7170,5890,1110,1478,427,4001,10135,206,609,0,breast
822326,707226,273675,13489,12269,1554,1573,4285,5632,3755,2777,310,3266,13907,110,2291,0,breast
1126107,1318380,897872,10199,9360,1891,1946,11175,9727,12337,5849,921,5478,32884,82,1181,0,breast
254484,382973,612357,8602,8044,1715,1871,2462,2589,2265,2615,1719,1233,10468,103,34,0,breast
51863,237658,56158,5374,4859,151,147,9223,932,1338,1092,436,4881,11618,49,683,0,breast
135840,1580398,112947,13164,12335,837,851,6237,3685,2194,1471,1235,11904,96774,2624,5612,0,breast
239293,3194516,957842,92088,86787,736,731,43115,3492,17151,12253,253,6053,3453,24,1354,3,breast
84710,647770,129228,3683,3273,786,814,11754,4872,5286,3597,360,21170,9936,4,979,0,breast
65832,513837,581266,4691,4271,231,205,4350,1972,2219,2203,196,2947,11966,272,1017,0,breast
38066,576566,180512,4261,3771,342,310,6994,1362,2501,1731,895,1866,8010,73,375,1,breast
77306,410015,20302,3257,2949,179,218,4466,2488,1148,862,628,3166,6346,27,585,0,breast
70089,523060,10377,8276,7485,443,457,2887,2203,721,293,331,850,2182,64,2421,0,breast
357412,1217525,210750,14552,13257,1619,1807,10205,6641,12205,6153,913,3999,34443,300,1041,0,breast
92427,889381,1092932,36637,31393,457,502,7292,968,6988,4852,451,4315,532,0,4636,3,breast
326289,450659,487553,7899,7346,2864,2952,5207,8579,1799,1581,549,3144,3197,20,335,0,breast
126344,572017,137064,16084,13842,615,546,6163,11623,2941,3669,2146,2287,8273,118,1615,0,breast
674663,2021875,417640,24736,23133,7354,7429,6334,15943,6883,5128,3113,7863,21914,269,5924,1,breast
208384,615449,199426,6593,5843,1189,1305,3667,3990,1286,1269,508,1293,16947,32,1010,0,breast
170297,701504,136613,10506,9471,856,1028,3835,1814,1795,1427,960,2062,27068,136,52,0,breast
316633,1268051,425852,6362,5941,1747,1841,7414,4434,4249,1860,2786,2627,4127,20,1282,0,breast
204934,504223,29004,6029,5247,1249,1184,2320,4982,767,575,303,2279,9656,114,2025,0,breast
436667,682188,217953,8295,7788,854,939,12177,3319,7615,2872,3796,11418,36809,272,850,0,breast
109834,1059202,55884,13576,12847,1716,2076,8707,3056,5790,5963,1203,2339,7495,73,179,0,breast
205819,1183591,44160,8735,7997,635,728,5429,3387,2502,2854,1453,1251,32363,221,1142,0,breast
398548,1061673,460214,6124,5618,2427,2531,3993,6119,1232,1265,3206,5735,9486,36,679,0,breast
98037,483724,47686,12886,11869,803,868,9167,4870,2537,1573,3184,6550,2866,27,4226,0,breast
109852,369844,111340,5997,5591,1111,1102,1428,3013,1293,615,4979,1586,580,3,198,0,breast
72925,643753,141923,4483,3953,339,375,8905,1473,3703,1934,434,3637,2530,16,3276,0,breast
79201,265011,80927,3677,3285,859,973,973,1770,1095,2517,2443,1941,1165,7,17,0,breast
918088,2465164,1047020,29868,28192,4581,4812,10182,17872,7104,4083,3008,5125,50271,333,3176,0,breast
